Date,Product_Type,Revenue,Quantity
2023-10-03,Smartphone,7120.71,9
2023-10-03,Smartphone,62.25,3
2023-10-03,Smartphone,124.5,6
2023-10-03,Smartphone,7120.71,9
2023-10-04,Smartphone,124.5,6
2023-10-04,Laptop,1391.88,3
2023-10-04,Laptop,3711.68,8
2023-10-04,Tablet,741.09,3
2023-10-04,Smartwatch,6758.64,8
2023-10-04,Smartphone,6329.52,8
2023-10-04,Smartwatch,3379.32,4
2023-10-04,Laptop,463.96,1
2023-10-04,Laptop,463.96,1
2023-10-04,Tablet,1976.24,8
2023-10-04,Tablet,1482.18,6
2023-10-04,Smartphone,6329.52,8
2023-10-04,Smartwatch,2534.49,3
2023-10-04,Laptop,2319.8,5
2023-10-04,Smartphone,166.0,8
2023-10-04,Smartwatch,6758.64,8
2023-10-04,Tablet,1729.21,7
2023-10-04,Smartwatch,8448.3,10
2023-10-04,Smartphone,103.75,5
2023-10-04,Smartwatch,1689.66,2
2023-10-04,Smartwatch,4224.15,5
2023-10-04,Smartphone,6329.52,8
2023-10-05,Tablet,2470.3,10
2023-10-05,Tablet,1482.18,6
2023-10-05,Smartphone,4747.14,6
2023-10-05,Laptop,4175.64,9
2023-10-05,Tablet,1729.21,7
2023-10-05,Smartphone,3164.76,4
2023-10-05,Smartphone,207.5,10
2023-10-05,Smartphone,7911.9,10
2023-10-05,Tablet,988.12,4
2023-10-05,Laptop,2319.8,5
2023-10-05,Smartphone,7120.71,9
2023-10-05,Tablet,494.06,2
2023-10-05,Smartphone,62.25,3
2023-10-05,Smartwatch,3379.32,4
2023-10-05,Smartphone,3164.76,4
2023-10-05,Tablet,741.09,3
2023-10-05,Smartphone,3164.76,4
2023-10-05,Laptop,2783.76,6
2023-10-06,Smartphone,207.5,10
2023-10-06,Tablet,1729.21,7
2023-10-06,Tablet,2470.3,10
2023-10-06,Smartphone,2373.57,3
2023-10-06,Tablet,494.06,2
2023-10-06,Smartphone,62.25,3
2023-10-06,Smartphone,83.0,4
2023-10-06,Smartphone,124.5,6
2023-10-06,Smartphone,2373.57,3
2023-10-06,Smartphone,41.5,2
2023-10-06,Smartphone,103.75,5
2023-10-06,Tablet,741.09,3
2023-10-06,Smartwatch,6758.64,8
2023-10-06,Tablet,741.09,3
2023-10-06,Tablet,1729.21,7
2023-10-06,Smartphone,83.0,4
2023-10-06,Laptop,4175.64,9
2023-10-06,Tablet,741.09,3
2023-10-06,Smartphone,4747.14,6
2023-10-06,Laptop,1855.84,4
2023-10-06,Tablet,1235.15,5
2023-10-06,Laptop,463.96,1
2023-10-06,Tablet,1482.18,6
2023-10-06,Laptop,2319.8,5
2023-10-07,Smartphone,7911.9,10
2023-10-07,Laptop,3711.68,8
2023-10-07,Laptop,3247.72,7
2023-10-07,Smartwatch,6758.64,8
2023-10-07,Smartphone,6329.52,8
2023-10-07,Smartphone,41.5,2
2023-10-07,Smartphone,124.5,6
2023-10-07,Smartphone,4747.14,6
2023-10-07,Smartphone,166.0,8
2023-10-07,Laptop,2319.8,5
2023-10-07,Tablet,1729.21,7
2023-10-07,Smartphone,41.5,2
2023-10-07,Laptop,1855.84,4
2023-10-07,Smartphone,145.25,7
2023-10-07,Smartphone,41.5,2
2023-10-07,Tablet,2223.27,9
2023-10-07,Laptop,1855.84,4
2023-10-07,Tablet,494.06,2
2023-10-07,Laptop,463.96,1
2023-10-07,Smartwatch,6758.64,8
2023-10-07,Smartwatch,5068.98,6
2023-10-07,Tablet,494.06,2
2023-10-07,Smartwatch,844.83,1
2023-10-07,Laptop,1391.88,3
2023-10-07,Smartphone,3955.95,5
2023-10-07,Smartphone,166.0,8
2023-10-07,Tablet,1235.15,5
2023-10-07,Tablet,494.06,2
2023-10-08,Laptop,3711.68,8
2023-10-08,Tablet,247.03,1
2023-10-08,Smartwatch,844.83,1
2023-10-08,Smartwatch,3379.32,4
2023-10-08,Laptop,3247.72,7
2023-10-08,Smartwatch,1689.66,2
2023-10-08,Smartwatch,2534.49,3
2023-10-08,Smartwatch,8448.3,10
2023-10-08,Smartphone,145.25,7
2023-10-08,Tablet,2223.27,9
2023-10-08,Smartwatch,2534.49,3
2023-10-08,Smartphone,166.0,8
2023-10-08,Tablet,1482.18,6
2023-10-08,Tablet,2470.3,10
2023-10-08,Tablet,1482.18,6
2023-10-09,Smartphone,186.75,9
2023-10-09,Laptop,2783.76,6
2023-10-09,Smartphone,7911.9,10
2023-10-09,Smartphone,207.5,10
2023-10-09,Smartphone,166.0,8
2023-10-09,Smartphone,20.75,1
2023-10-09,Smartwatch,1689.66,2
2023-10-09,Smartphone,4747.14,6
2023-10-09,Tablet,1729.21,7
2023-10-09,Laptop,4639.6,10
2023-10-09,Laptop,1855.84,4
2023-10-09,Smartphone,62.25,3
2023-10-09,Laptop,1391.88,3
2023-10-09,Smartphone,5538.33,7
2023-10-09,Smartphone,207.5,10
2023-10-09,Smartphone,1582.38,2
2023-10-09,Smartphone,62.25,3
2023-10-09,Smartwatch,8448.3,10
2023-10-10,Tablet,1976.24,8
2023-10-10,Smartwatch,3379.32,4
2023-10-10,Smartwatch,4224.15,5
2023-10-10,Smartwatch,6758.64,8
2023-10-10,Smartphone,7120.71,9
2023-10-10,Smartphone,83.0,4
2023-10-10,Smartwatch,8448.3,10
2023-10-10,Tablet,988.12,4
2023-10-10,Smartphone,20.75,1
2023-10-10,Tablet,1482.18,6
2023-10-10,Smartwatch,5913.81,7
2023-10-10,Smartwatch,4224.15,5
2023-10-10,Laptop,1391.88,3
2023-10-10,Smartphone,207.5,10
2023-10-10,Smartphone,83.0,4
2023-10-10,Laptop,2319.8,5
2023-10-10,Smartphone,124.5,6
2023-10-10,Smartphone,103.75,5
2023-10-10,Tablet,1976.24,8
2023-10-10,Tablet,494.06,2
2023-10-10,Smartphone,124.5,6
2023-10-10,Smartphone,2373.57,3
2023-10-11,Tablet,1482.18,6
2023-10-11,Laptop,2783.76,6
2023-10-11,Smartphone,4747.14,6
2023-10-11,Smartwatch,5913.81,7
2023-10-11,Smartwatch,4224.15,5
2023-10-11,Smartphone,1582.38,2
2023-10-11,Smartphone,62.25,3
2023-10-11,Smartwatch,6758.64,8
2023-10-11,Smartwatch,5068.98,6
2023-10-11,Laptop,4175.64,9
2023-10-11,Smartphone,20.75,1
2023-10-11,Smartwatch,5913.81,7
2023-10-11,Laptop,927.92,2
2023-10-11,Laptop,2783.76,6
2023-10-11,Tablet,247.03,1
2023-10-11,Tablet,247.03,1
2023-10-11,Smartwatch,844.83,1
2023-10-11,Laptop,3711.68,8
2023-10-11,Smartphone,145.25,7
2023-10-11,Smartphone,3955.95,5
2023-10-12,Smartwatch,8448.3,10
2023-10-12,Smartphone,83.0,4
2023-10-12,Tablet,1235.15,5
2023-10-12,Smartphone,166.0,8
2023-10-12,Smartphone,62.25,3
2023-10-12,Smartphone,207.5,10
2023-10-12,Smartwatch,3379.32,4
2023-10-12,Tablet,1235.15,5
2023-10-12,Smartwatch,3379.32,4
2023-10-12,Smartphone,20.75,1
2023-10-12,Smartphone,6329.52,8
2023-10-12,Smartphone,83.0,4
2023-10-12,Tablet,1235.15,5
2023-10-12,Tablet,988.12,4
2023-10-12,Smartphone,145.25,7
2023-10-12,Smartphone,7911.9,10
2023-10-12,Smartphone,2373.57,3
2023-10-12,Tablet,1729.21,7
2023-10-12,Smartphone,4747.14,6
2023-10-12,Tablet,1235.15,5
2023-10-12,Tablet,247.03,1
2023-10-12,Tablet,2470.3,10
2023-10-12,Laptop,3711.68,8
2023-10-12,Laptop,463.96,1
2023-10-12,Tablet,2470.3,10
2023-10-12,Smartphone,6329.52,8
2023-10-13,Smartphone,7911.9,10
2023-10-13,Tablet,741.09,3
2023-10-13,Smartphone,6329.52,8
2023-10-13,Laptop,3247.72,7
2023-10-13,Tablet,247.03,1
2023-10-13,Smartphone,103.75,5
2023-10-13,Smartphone,2373.57,3
2023-10-13,Smartwatch,5913.81,7
2023-10-13,Tablet,2470.3,10
2023-10-13,Smartphone,791.19,1
2023-10-13,Smartphone,83.0,4
2023-10-13,Smartphone,1582.38,2
2023-10-13,Tablet,2470.3,10
2023-10-13,Smartphone,83.0,4
2023-10-13,Laptop,1855.84,4
2023-10-13,Smartwatch,5913.81,7
2023-10-13,Smartphone,145.25,7
2023-10-13,Tablet,741.09,3
2023-10-13,Smartphone,124.5,6
2023-10-13,Smartphone,3164.76,4
2023-10-14,Smartphone,145.25,7
2023-10-14,Tablet,1235.15,5
2023-10-14,Smartphone,124.5,6
2023-10-14,Laptop,3711.68,8
2023-10-14,Tablet,494.06,2
2023-10-14,Tablet,2470.3,10
2023-10-14,Tablet,494.06,2
2023-10-14,Smartwatch,4224.15,5
2023-10-14,Tablet,494.06,2
2023-10-14,Smartwatch,7603.47,9
2023-10-14,Smartphone,103.75,5
2023-10-14,Smartwatch,8448.3,10
2023-10-14,Smartphone,3955.95,5
2023-10-14,Tablet,1235.15,5
2023-10-14,Smartwatch,5913.81,7
2023-10-14,Tablet,494.06,2
2023-10-14,Smartwatch,1689.66,2
2023-10-14,Smartphone,2373.57,3
2023-10-15,Smartwatch,3379.32,4
2023-10-15,Laptop,3711.68,8
2023-10-15,Tablet,1976.24,8
2023-10-15,Tablet,741.09,3
2023-10-15,Tablet,247.03,1
2023-10-15,Smartphone,83.0,4
2023-10-15,Tablet,988.12,4
2023-10-15,Laptop,3247.72,7
2023-10-15,Smartphone,83.0,4
2023-10-15,Smartphone,20.75,1
2023-10-15,Laptop,3711.68,8
2023-10-15,Smartphone,186.75,9
2023-10-15,Smartphone,124.5,6
2023-10-15,Laptop,1391.88,3
2023-10-16,Smartphone,186.75,9
2023-10-16,Smartphone,4747.14,6
2023-10-16,Tablet,2470.3,10
2023-10-16,Laptop,3247.72,7
2023-10-16,Smartphone,6329.52,8
2023-10-16,Smartphone,124.5,6
2023-10-16,Smartphone,6329.52,8
2023-10-16,Smartphone,7911.9,10
2023-10-16,Smartphone,83.0,4
2023-10-17,Tablet,494.06,2
2023-10-17,Smartwatch,2534.49,3
2023-10-17,Smartphone,62.25,3
2023-10-17,Tablet,988.12,4
2023-10-17,Tablet,247.03,1
2023-10-17,Laptop,1855.84,4
2023-10-17,Tablet,988.12,4
2023-10-17,Smartwatch,5913.81,7
2023-10-17,Smartwatch,844.83,1
2023-10-17,Laptop,4175.64,9
2023-10-17,Smartwatch,4224.15,5
2023-10-17,Smartphone,3164.76,4
2023-10-17,Smartphone,186.75,9
2023-10-17,Laptop,4639.6,10
2023-10-17,Smartphone,7120.71,9
2023-10-17,Smartphone,145.25,7
2023-10-17,Smartwatch,4224.15,5
2023-10-17,Laptop,927.92,2
2023-10-17,Smartphone,2373.57,3
2023-10-17,Laptop,1855.84,4
2023-10-17,Laptop,2319.8,5
2023-10-17,Tablet,494.06,2
2023-10-17,Tablet,247.03,1
2023-10-18,Tablet,2223.27,9
2023-10-18,Smartphone,62.25,3
2023-10-18,Smartphone,791.19,1
2023-10-18,Laptop,2783.76,6
2023-10-18,Laptop,1855.84,4
2023-10-18,Smartphone,3164.76,4
2023-10-18,Smartphone,41.5,2
2023-10-18,Smartphone,62.25,3
2023-10-18,Smartphone,145.25,7
2023-10-18,Smartwatch,3379.32,4
2023-10-18,Laptop,2319.8,5
2023-10-18,Smartphone,20.75,1
2023-10-18,Tablet,1235.15,5
2023-10-18,Tablet,494.06,2
2023-10-18,Smartwatch,7603.47,9
2023-10-18,Smartphone,5538.33,7
2023-10-18,Laptop,463.96,1
2023-10-18,Smartwatch,5913.81,7
2023-10-18,Smartphone,41.5,2
2023-10-18,Tablet,988.12,4
2023-10-18,Tablet,1976.24,8
2023-10-18,Smartphone,41.5,2
2023-10-19,Tablet,1235.15,5
2023-10-19,Smartphone,124.5,6
2023-10-19,Smartwatch,5068.98,6
2023-10-19,Smartphone,207.5,10
2023-10-19,Smartwatch,7603.47,9
2023-10-19,Smartwatch,5068.98,6
2023-10-19,Laptop,3711.68,8
2023-10-19,Tablet,741.09,3
2023-10-19,Smartphone,145.25,7
2023-10-19,Tablet,2470.3,10
2023-10-19,Laptop,463.96,1
2023-10-19,Smartwatch,5068.98,6
2023-10-19,Smartphone,207.5,10
2023-10-19,Smartphone,2373.57,3
2023-10-19,Laptop,2319.8,5
2023-10-19,Laptop,4639.6,10
2023-10-20,Tablet,1235.15,5
2023-10-20,Laptop,3711.68,8
2023-10-20,Smartphone,3164.76,4
2023-10-20,Smartwatch,6758.64,8
2023-10-20,Smartphone,41.5,2
2023-10-20,Smartphone,5538.33,7
2023-10-20,Smartphone,103.75,5
2023-10-20,Smartwatch,844.83,1
2023-10-20,Smartphone,20.75,1
2023-10-20,Tablet,1976.24,8
2023-10-20,Smartphone,6329.52,8
2023-10-20,Smartwatch,3379.32,4
2023-10-20,Tablet,988.12,4
2023-10-20,Smartwatch,8448.3,10
2023-10-20,Smartphone,166.0,8
2023-10-20,Smartphone,124.5,6
2023-10-20,Laptop,3247.72,7
2023-10-20,Tablet,494.06,2
2023-10-20,Laptop,927.92,2
2023-10-20,Smartphone,3164.76,4
2023-10-20,Smartphone,7911.9,10
2023-10-21,Smartwatch,7603.47,9
2023-10-21,Smartphone,7120.71,9
2023-10-21,Smartwatch,844.83,1
2023-10-21,Smartphone,7120.71,9
2023-10-21,Tablet,2470.3,10
2023-10-21,Smartphone,6329.52,8
2023-10-21,Tablet,494.06,2
2023-10-21,Tablet,1729.21,7
2023-10-21,Smartphone,7911.9,10
2023-10-21,Smartphone,3164.76,4
2023-10-21,Smartphone,83.0,4
2023-10-21,Tablet,247.03,1
2023-10-21,Tablet,494.06,2
2023-10-21,Smartphone,1582.38,2
2023-10-21,Smartphone,6329.52,8
2023-10-21,Smartwatch,8448.3,10
2023-10-21,Smartphone,5538.33,7
2023-10-21,Smartphone,207.5,10
2023-10-21,Smartphone,166.0,8
2023-10-21,Tablet,1482.18,6
2023-10-21,Smartwatch,4224.15,5
2023-10-21,Smartphone,5538.33,7
2023-10-22,Smartphone,186.75,9
2023-10-22,Smartphone,166.0,8
2023-10-22,Smartphone,7911.9,10
2023-10-22,Tablet,2470.3,10
2023-10-22,Tablet,2223.27,9
2023-10-22,Smartphone,124.5,6
2023-10-22,Laptop,3247.72,7
2023-10-22,Smartwatch,6758.64,8
2023-10-22,Smartphone,207.5,10
2023-10-22,Smartphone,20.75,1
2023-10-22,Smartphone,20.75,1
2023-10-22,Tablet,741.09,3
2023-10-22,Tablet,1976.24,8
2023-10-22,Smartphone,83.0,4
2023-10-22,Smartwatch,2534.49,3
2023-10-22,Laptop,2319.8,5
2023-10-22,Laptop,1855.84,4
2023-10-23,Smartwatch,1689.66,2
2023-10-23,Smartphone,41.5,2
2023-10-23,Tablet,494.06,2
2023-10-23,Laptop,2319.8,5
2023-10-23,Smartphone,103.75,5
2023-10-23,Smartphone,5538.33,7
2023-10-23,Laptop,927.92,2
2023-10-23,Tablet,2470.3,10
2023-10-23,Laptop,927.92,2
2023-10-23,Laptop,4639.6,10
2023-10-23,Smartphone,41.5,2
2023-10-23,Smartwatch,3379.32,4
2023-10-23,Smartphone,207.5,10
2023-10-23,Laptop,3711.68,8
2023-10-23,Smartphone,166.0,8
2023-10-23,Tablet,1235.15,5
2023-10-23,Smartwatch,6758.64,8
2023-10-23,Smartphone,41.5,2
2023-10-23,Tablet,494.06,2
2023-10-23,Laptop,1855.84,4
2023-10-23,Smartphone,791.19,1
2023-10-24,Laptop,2783.76,6
2023-10-24,Smartphone,6329.52,8
2023-10-24,Laptop,3247.72,7
2023-10-24,Tablet,2223.27,9
2023-10-24,Smartphone,62.25,3
2023-10-24,Smartphone,7120.71,9
2023-10-24,Smartphone,5538.33,7
2023-10-24,Smartphone,6329.52,8
2023-10-24,Tablet,741.09,3
2023-10-24,Smartphone,207.5,10
2023-10-24,Laptop,3711.68,8
2023-10-24,Smartphone,2373.57,3
2023-10-24,Tablet,1235.15,5
2023-10-24,Smartwatch,8448.3,10
2023-10-24,Tablet,741.09,3
2023-10-24,Smartphone,3955.95,5
2023-10-24,Smartwatch,3379.32,4
2023-10-24,Smartwatch,2534.49,3
2023-10-24,Smartphone,41.5,2
2023-10-24,Smartphone,124.5,6
2023-10-24,Tablet,1976.24,8
2023-10-24,Smartphone,186.75,9
2023-10-24,Smartphone,7911.9,10
2023-10-24,Smartphone,7120.71,9
2023-10-25,Smartphone,124.5,6
2023-10-25,Tablet,1976.24,8
2023-10-25,Tablet,988.12,4
2023-10-25,Smartwatch,8448.3,10
2023-10-25,Laptop,3711.68,8
2023-10-25,Smartphone,791.19,1
2023-10-25,Tablet,988.12,4
2023-10-25,Tablet,988.12,4
2023-10-25,Laptop,4175.64,9
2023-10-25,Tablet,247.03,1
2023-10-25,Laptop,2783.76,6
2023-10-25,Smartphone,3955.95,5
2023-10-25,Smartwatch,1689.66,2
2023-10-25,Tablet,494.06,2
2023-10-25,Smartphone,62.25,3
2023-10-25,Smartphone,791.19,1
2023-10-25,Laptop,3247.72,7
2023-10-25,Laptop,2319.8,5
2023-10-25,Tablet,1729.21,7
2023-10-25,Smartphone,4747.14,6
2023-10-26,Laptop,1855.84,4
2023-10-26,Smartphone,124.5,6
2023-10-26,Laptop,463.96,1
2023-10-26,Laptop,3247.72,7
2023-10-26,Tablet,2223.27,9
2023-10-26,Smartwatch,1689.66,2
2023-10-26,Laptop,4639.6,10
2023-10-26,Laptop,4175.64,9
2023-10-27,Smartphone,103.75,5
2023-10-27,Laptop,3711.68,8
2023-10-27,Tablet,1482.18,6
2023-10-27,Smartphone,1582.38,2
2023-10-27,Smartwatch,1689.66,2
2023-10-27,Laptop,2319.8,5
2023-10-27,Tablet,2223.27,9
2023-10-27,Smartphone,5538.33,7
2023-10-27,Tablet,1482.18,6
2023-10-27,Laptop,1855.84,4
2023-10-27,Smartphone,4747.14,6
2023-10-27,Smartphone,207.5,10
2023-10-27,Laptop,1391.88,3
2023-10-27,Smartphone,41.5,2
2023-10-27,Laptop,463.96,1
2023-10-27,Smartwatch,844.83,1
2023-10-27,Smartphone,20.75,1
2023-10-27,Laptop,2319.8,5
2023-10-27,Laptop,4639.6,10
2023-10-27,Smartwatch,5068.98,6
2023-10-27,Smartwatch,5913.81,7
2023-10-27,Smartwatch,6758.64,8
2023-10-27,Smartwatch,8448.3,10
2023-10-27,Tablet,2223.27,9
2023-10-28,Smartphone,103.75,5
2023-10-28,Smartphone,6329.52,8
2023-10-28,Smartwatch,6758.64,8
2023-10-28,Smartphone,3164.76,4
2023-10-28,Smartphone,20.75,1
2023-10-28,Laptop,463.96,1
2023-10-28,Smartphone,3164.76,4
2023-10-28,Smartphone,186.75,9
2023-10-28,Smartwatch,844.83,1
2023-10-28,Tablet,988.12,4
2023-10-28,Laptop,4175.64,9
2023-10-28,Laptop,1855.84,4
2023-10-28,Smartphone,207.5,10
2023-10-28,Smartphone,1582.38,2
2023-10-28,Smartphone,3955.95,5
2023-10-28,Smartwatch,3379.32,4
2023-10-28,Tablet,247.03,1
2023-10-28,Laptop,3247.72,7
2023-10-28,Tablet,741.09,3
2023-10-28,Tablet,2223.27,9
2023-10-28,Tablet,2223.27,9
2023-10-28,Tablet,2470.3,10
2023-10-29,Smartwatch,8448.3,10
2023-10-29,Tablet,2223.27,9
2023-10-29,Laptop,3247.72,7
2023-10-29,Smartwatch,844.83,1
2023-10-29,Tablet,988.12,4
2023-10-29,Tablet,1729.21,7
2023-10-29,Smartwatch,1689.66,2
2023-10-29,Laptop,4175.64,9
2023-10-29,Smartphone,41.5,2
2023-10-29,Tablet,494.06,2
2023-10-29,Smartwatch,5068.98,6
2023-10-29,Smartphone,20.75,1
2023-10-29,Smartwatch,5068.98,6
2023-10-29,Smartphone,6329.52,8
2023-10-29,Tablet,247.03,1
2023-10-29,Smartphone,1582.38,2
2023-10-29,Tablet,1482.18,6
2023-10-29,Smartwatch,2534.49,3
2023-10-29,Smartphone,7911.9,10
2023-10-29,Laptop,3247.72,7
2023-10-29,Laptop,1391.88,3
2023-10-30,Smartphone,145.25,7
2023-10-30,Laptop,1391.88,3
2023-10-30,Smartphone,3955.95,5
2023-10-30,Smartphone,4747.14,6
2023-10-30,Smartphone,5538.33,7
2023-10-30,Smartphone,20.75,1
2023-10-30,Smartphone,3955.95,5
2023-10-30,Smartphone,41.5,2
2023-10-30,Tablet,2223.27,9
2023-10-30,Smartwatch,5068.98,6
2023-10-30,Smartphone,4747.14,6
2023-10-30,Tablet,494.06,2
2023-10-30,Smartphone,83.0,4
2023-10-30,Laptop,463.96,1
2023-10-30,Smartphone,3164.76,4
2023-10-30,Tablet,2470.3,10
2023-10-30,Smartphone,145.25,7
2023-10-30,Tablet,2470.3,10
2023-10-30,Smartphone,166.0,8
2023-10-30,Tablet,247.03,1
2023-10-30,Laptop,2319.8,5
2023-10-30,Smartwatch,6758.64,8
2023-10-30,Smartphone,41.5,2
2023-10-30,Smartwatch,3379.32,4
